,NAME,STATUS,SHOT,SEQ,REEL
610,hair and fur,Ready to Start,SHOT_035,150,150
611,FTP,Completed,SHOT_030,430,430
612,FTP,Completed,SHOT_020,430,430
613,FTP,Completed,SHOT_040,430,430
614,Layout,In progress,SHOT_611,310,310
615,fx,Ready to Start,SHOT_040,221,221
616,Animation,Ready to Start,SHOT_010,450,450
617,Layout,Completed,SHOT_010,450,450
618,Hair and Fur,Completed,SHOT_452,180,180
619,Animation,Approved,SHOT_452,180,180
620,Lookdev,In progress,SHOT_452,180,180
621,Assemble,Completed,SHOT_452,180,180
622,Cloth,Completed,SHOT_452,180,180
623,Baking,Completed,SHOT_452,180,180
624,Layout,In progress,SHOT_530,820,820
625,Hair and Fur,Completed,SHOT_066,160,160
626,Compositing,Pending Review,SHOT_066,160,160
627,Paint,Completed,SHOT_066,160,160
628,Layout,In progress,SHOT_540,820,820
629,Animation,Approved,SHOT_066,160,160
630,Lookdev,In progress,SHOT_066,160,160
